cycle_countBattery_health,SOH
3.701045589,101.11135
3.701045589,101.0069922
3.701045589,100.9026344
3.701045589,100.7982767
3.701045589,100.6939189
3.701045589,100.5895611
3.701045589,100.4852034
3.701045589,100.3808456
3.701045589,100.2764879
3.701045589,100.1721301
3.701045589,100.0677723
3.701045589,99.96341457
3.701045589,99.8590568
3.701045589,99.75469904
3.701045589,99.65034128
3.701045589,99.54598351
3.701045589,99.44162575
3.701045589,99.33726799
3.701045589,99.23291023
3.701045589,99.12855246
3.701045589,99.0241947
3.701045589,98.91983694
7.867552385,101.11135
7.867552385,101.0069922
7.867552385,100.9026344
7.867552385,100.7982767
7.867552385,100.6939189
7.867552385,100.5895611
7.867552385,100.4852034
7.867552385,100.3808456
7.867552385,100.2764879
7.867552385,100.1721301
7.867552385,100.0677723
7.867552385,99.96341457
7.867552385,99.8590568
7.867552385,99.75469904
7.867552385,99.65034128
7.867552385,99.54598351
7.867552385,99.44162575
7.867552385,99.33726799
7.867552385,99.23291023
7.867552385,99.12855246
7.867552385,99.0241947
7.867552385,98.91983694
7.867552385,98.81547917
12.03405918,101.2157077
12.03405918,101.11135
12.03405918,101.0069922
12.03405918,100.9026344
12.03405918,100.7982767
12.03405918,100.6939189
12.03405918,100.5895611
12.03405918,100.4852034
12.03405918,100.3808456
12.03405918,100.2764879
12.03405918,100.1721301
12.03405918,100.0677723
12.03405918,99.96341457
12.03405918,99.8590568
12.03405918,99.75469904
12.03405918,99.65034128
12.03405918,99.54598351
12.03405918,99.44162575
12.03405918,99.33726799
12.03405918,99.23291023
12.03405918,99.12855246
12.03405918,99.0241947
12.03405918,98.91983694
12.03405918,98.81547917
16.20056598,101.2157077
16.20056598,101.11135
16.20056598,101.0069922
16.20056598,100.9026344
16.20056598,100.7982767
16.20056598,100.6939189
16.20056598,100.5895611
16.20056598,100.4852034
16.20056598,100.3808456
16.20056598,100.2764879
16.20056598,100.1721301
16.20056598,100.0677723
16.20056598,99.96341457
16.20056598,99.8590568
16.20056598,99.75469904
16.20056598,99.65034128
16.20056598,99.54598351
16.20056598,99.44162575
16.20056598,99.33726799
16.20056598,99.23291023
16.20056598,99.12855246
16.20056598,99.0241947
16.20056598,98.91983694
16.20056598,98.81547917
16.20056598,98.71112141
16.20056598,98.60676365
20.36707277,101.11135
20.36707277,101.0069922
20.36707277,100.9026344
20.36707277,100.7982767
20.36707277,100.6939189
20.36707277,100.5895611
20.36707277,100.4852034
